T12_Category_PK,T12_01_Category,T12_02_Picture
{DD1FC651-E802-4C3D-B26E47FB1221394A},CP500 CONSUMABLES,
{26CC0406-AB52-41AF-9DD6C42D112A8A27},Vi1200 CONSUMBLES,
{132E1A5B-B85E-4EEC-B66C08AF3C8F3162},HEIDI CONSUMABLES,
{9CA2C758-20B9-4A3D-8D881508AE18A843},CP500 PRINTER,
{A81055BE-3B12-4768-A01655B51DB55A3D},Vi 1200 VISA PRINTER,
{8EB0E822-9E2C-4D7B-B55D3EB8A8153507},EP600 PRINTER,
{A1768E9C-F403-4827-84A9DEEE3CACEAD1},CP500 SPARE PARTS,
{11148E6F-167E-40A3-926AEC849D381F01},EP600 PRINTER,
{AE52E808-FDE8-4243-959F8F447D70534A},EP600 CONSUMABLES,
{2E0E35C4-610E-451F-8F4FB60A1B81B6ED},EP600 SPARE PARTS,
